book_id,title,language,place_of_publication,published_year,edition,price,class_number,source,notes,author_id,publisher_id
B00001,ကံ့ကော်မြေမှ ရာပြည့်ရန်ကုန်တက္ကသိုလ်,Burmese,ရန်ကုန်,၂၀၁၇,,၅၀၀၀,၃၇၈.၁,လက်ဆောင်,,A0001,P0001
B00002,တပ်မတော်ကာကွယ်‌ရေးဦးစီးချုပ်ဗိုလ်ချုပ်မှူးကြီးမင်းအောင်လှိုင်(သို့)ငါ့နိုင်ငံတော်၊ ငါ့နိုင်ငံသား၊ငါ့တပ်မတော်အတွက်,Burmese,ရန်ကုန်,၂၀၁၆,,၂၀၀၀,၉၂၃.၁,ဝယ်ယူ,,A0002,P0002
B00003,အာဆီယံဘာသာစကားနှင့် စာအရေးအသားစနစ်မိတ်ဆက်,Burmese,ရန်ကုန်,၂၀၂၄,,၇၀၀၀,၄၁၁.၉၅,လက်ဆောင်,,A0003,P0003
B00004,မောင်သာရ၏ မောင်သာရ,Burmese,ရန်ကုန်,၁၉၈၇,,၃၀,၃၀၂.၃၄၆၉၂၈,ဝယ်ယူ,,A0004,P0004
B00005,ဗန်းမော်တင်အောင်အမှတ်တရကွယ်လွန်ခြင်းနှစ်၃၀မြောက်စာပေအနုပညာစုစည်းမှု,Burmese,ရန်ကုန်,၂၀၁၁,,၃၅၀၀,၈၀၈.၀၀၉၂၈၉၅၈,လက်ဆောင်,,A0005,P0005
B00006,လူကူးမျဥ်းကျားက လမ်းဖြတ်ကူးလျှင် ကမ္ဘာကျော်နိုင်ပါသည်,Burmese,ရန်ကုန်,၂၀၁၆,,၁၅၀၀,၈၉၅.၈၄,လက်ဆောင်,,A0006,P0006
B00007,ဦးဝင်းတင်နဲ့နေထိုင်ခြင်း,Burmese,ရန်ကုန်,၂၀၁၄,,၂၅၀၀,၈၉၅.၈၄,လက်ဆောင်,,A0007,P0092
B00008,ခေတ်ပေါ်အသံ- ကဗျာစာအုပ် ၄ အုပ်ပေါင်းချုပ်,Burmese,ရန်ကုန်,၂၀၁၆,,၂၅၀၀,၈၉၅.၈၁၀၅,ဝယ်ယူ,,A0008,P0007
B00009,ဒေါ်အောင်ဆန်းစုကြည်၏ လက်ရွေးစင်မိန့်ခွန်းများ,Burmese,ရန်ကုန်,၂၀၁၅,,၇၀၀၀,၈၉၅.၈၅,ဝယ်ယူ,,A0009,P0008
B00010,စာသင်ခန်းတွေကို စွန့်ခွာခဲ့ပြီးနောက်,Burmese,ရန်ကုန်,၂၀၁၇,,၄၀၀၀,၉၂၃.၂,ဝယ်ယူ,,A0010,P0009
B00011,အိုရှိုး လိင်စွမ်းအားမှ အဆင့်မြင့်သတိသို့,Burmese,ရန်ကုန်,၂၀၁၅,,၃၀၀၀,၁၅၈.၄,ဝယ်ယူ,,A0011,P0010
B00012,သက်သေခံအသံများ,Burmese,ရန်ကုန်,၂၀၁၆,,၃၀၀၀,၃၆၂.,ဝယ်ယူ,,,P0006
B00013,စိတ်ခွန်အားဖြည့် သုတစာစုများ,Burmese,ရန်ကုန်,၂၀၁၉,,,၈၉၅.၈၄,ဝယ်ယူ,,A0012,P0011
B00014,ပြုပြင်ပြောင်းလဲရေး တတိယလှိုင်း ဘာလဲ၊ ဘယ်လဲ,Burmese,ရန်ကုန်,၂၀၁၄,,၂၀၀၀,၃၆၁.,လက်ဆောင်,,A0013,P0012
B00015,လူကြိုက်နည်းတဲ့ကောင်- မောင်ချောနွယ် ကွယ်လွန်ခြင်း ၁၅နှစ်ပြည့် အမှတ်တရစာကဗျာများ,Burmese,ရန်ကုန်,၂၀၁၇,,၄၀၀၀,၈၀၈.၀၀၉၂၈၉၅၈,ဝယ်ယူ,,A0005,P0007
B00016,လူမျိုးစုစစ်ပွဲနှင့် နိုင်ငံရေးအနာဂတ်,Burmese,ရန်ကုန်,၂၀၁၈,,၂၅၀၀,၈၉၅.၈၄,ဝယ်ယူ,,A0005,P0013
B00017,မြန်မာရာဇဝင်ထဲက ထင်ရှားကျော်ကြားအမည်တူများ,Burmese,ရန်ကုန်,၂၀၁၄,,၂၀၀၀,၉၅၉.၁,လက်ဆောင်,,A0014,P0014
B00018,လူမသိသေးသော ဖ.ဆ.ပ.လ အတွင်းရေးများ စကားလက်ဆုံ ပြောလို့မကုန်,Burmese,ရန်ကုန်,၁၉--,,,၉၅၉.၁,ဝယ်ယူ,,A0015,P0015
B00019,လွယ်အိတ်- ရေဒီယိုအသံလွှင့်ချက်များ (၁),Burmese,ရန်ကုန်,၂၀၁၅,,၂၂၀၀,၃၈၄.၅၄,ဝယ်ယူ,,A0016,P0016
B00020,မှန်းဆ တမ်းတ ဖွဲ့ခဲ့မိသမျှ ပုံရိပ်တွေ,Burmese,ရန်ကုန်,၂၀၁၆,,၂၀၀၀,၈၉၅.၈၁,ဝယ်ယူ,,A0017,P0017
B00021,အမျိုးသားလုံခြုံရေးအယူအဆကို ခေတ်သစ်အမြင်ဖြင့် ပြန်လည်ဖွင့်ဆိုခြင်း,Burmese,ရန်ကုန်,၂၀၁၉,,,၃၂၀.၅၁၃,ဝယ်ယူ,,A0018,P0009
B00022,သိကောင်းစရာ အာဆီယံ,Burmese,ရန်ကုန်,၂၀၁၃,,,၃၄၁.၂၄၇၃,ဝယ်ယူ,,,P0018
B00023,ဘတ်လိုက်သတင်းသမားရဲ့ အာဏာရှင်နိုင်ငံတော်ကို ဖြိုလှဲခြင်း,Burmese,ရန်ကုန်,၂၀၁၆,,၅၀၀၀,၉၂၀.၅၉၅၈,ဝယ်ယူ,,A0019,P0019
B00024,မြန်မာ့စာဆိုတော်များ,Burmese,ရန်ကုန်,၂၀၁၀,,,၉၂၈.၉၅၈,ဝယ်ယူ,,A0020,P0020
B00025,ရွှေမန်းတင်မောင်,Burmese,ရန်ကုန်,၂၀၁၇,,၈၅၀၀,၉၂၇.၉,ဝယ်ယူ,,A0021,P0021
B00026,တစ်နိုင်ငံလုံးပစ်ခတ်တိုက်ခိုက်မှု ရပ်စဲရေးသဘောတူစာချုပ်ကို အခြေခံ၍အကောင်အထည်ဖော်ဆောင်နေသော ငြိမ်းချမ်းရေးဖြစ်စဥ်ကို သုံးသပ်တင်ပြခြင်း,Burmese,ရန်ကုန်,၂၀၁၉,,,၃၄၁.၇၃,ဝယ်ယူ,,A0022,P0022
B00027,ဒီမိုကရေစီနှင့်ဖက်ဒရယ်စနစ်တို့ကို အခြေခံသော ပြည်ထောင်စုတည်ဆောက်ရေးနှင့် ၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံဥပဒေ,Burmese,ရန်ကုန်,၂၀၁၉,,,၃၄၂.၅၉၁,ဝယ်ယူ,,A0022,P0022
